theta,p,model
14,1.05103966084447e-05,brooklyn prior
14.1,1.05699397453417e-05,brooklyn prior
14.2,1.06293932644322e-05,brooklyn prior
14.3,1.06887579043765e-05,brooklyn prior
14.4,1.0748034392575e-05,brooklyn prior
14.5,1.08072234454173e-05,brooklyn prior
14.6,1.08663257685244e-05,brooklyn prior
14.7,1.09253420569835e-05,brooklyn prior
14.8,1.09842729955761e-05,brooklyn prior
14.9,1.10431192590004e-05,brooklyn prior
15,1.11018815120863e-05,brooklyn prior
15.1,1.11605604100054e-05,brooklyn prior
15.2,1.12191565984747e-05,brooklyn prior
15.3,1.12776707139545e-05,brooklyn prior
15.4,1.13361033838412e-05,brooklyn prior
15.5,1.13944552266553e-05,brooklyn prior
15.6,1.14527268522229e-05,brooklyn prior
15.7,1.15109188618541e-05,brooklyn prior
15.8,1.15690318485151e-05,brooklyn prior
15.9,1.1627066396997e-05,brooklyn prior
16,1.16850230840791e-05,brooklyn prior
16.1,1.17429024786885e-05,brooklyn prior
16.2,1.18007051420557e-05,brooklyn prior
16.3,1.18584316278654e-05,brooklyn prior
16.4,1.19160824824045e-05,brooklyn prior
16.5,1.19736582447054e-05,brooklyn prior
16.6,1.20311594466862e-05,brooklyn prior
16.7,1.2088586613287e-05,brooklyn prior
16.8,1.21459402626031e-05,brooklyn prior
16.9,1.22032209060147e-05,brooklyn prior
17,1.22604290483135e-05,brooklyn prior
17.1,1.23175651878261e-05,brooklyn prior
17.2,1.23746298165341e-05,brooklyn prior
17.3,1.2431623420192e-05,brooklyn prior
17.4,1.24885464784416e-05,brooklyn prior
17.5,1.25453994649239e-05,brooklyn prior
17.6,1.26021828473882e-05,brooklyn prior
17.7,1.26588970877986e-05,brooklyn prior
17.8,1.27155426424385e-05,brooklyn prior
17.9,1.27721199620115e-05,brooklyn prior
18,1.28286294917415e-05,brooklyn prior
18.1,1.28850716714687e-05,brooklyn prior
18.2,1.29414469357451e-05,brooklyn prior
18.3,1.29977557139265e-05,brooklyn prior
18.4,1.3053998430263e-05,brooklyn prior
18.5,1.31101755039874e-05,brooklyn prior
18.6,1.31662873494015e-05,brooklyn prior
18.7,1.32223343759605e-05,brooklyn prior
18.8,1.32783169883555e-05,brooklyn prior
18.9,1.3334235586594e-05,brooklyn prior
19,1.33900905660791e-05,brooklyn prior
19.1,1.34458823176863e-05,brooklyn prior
19.2,1.35016112278393e-05,brooklyn prior
19.3,1.35572776785833e-05,brooklyn prior
19.4,1.36128820476577e-05,brooklyn prior
19.5,1.36684247085664e-05,brooklyn prior
19.6,1.37239060306472e-05,brooklyn prior
19.7,1.37793263791392e-05,brooklyn prior
19.8,1.3834686115249e-05,brooklyn prior
19.9,1.38899855962159e-05,brooklyn prior
20,1.39452251753747e-05,brooklyn prior
20.1,1.40004052022184e-05,brooklyn prior
20.2,1.40555260224588e-05,brooklyn prior
20.3,1.41105879780859e-05,brooklyn prior
20.4,1.41655914074266e-05,brooklyn prior
20.5,1.42205366452014e-05,brooklyn prior
20.6,1.42754240225808e-05,brooklyn prior
20.7,1.43302538672399e-05,brooklyn prior
20.8,1.43850265034119e-05,brooklyn prior
20.9,1.44397422519413e-05,brooklyn prior
21,1.44944014303351e-05,brooklyn prior
21.1,1.45490043528133e-05,brooklyn prior
21.2,1.46035513303587e-05,brooklyn prior
21.3,1.46580426707655e-05,brooklyn prior
21.4,1.47124786786865e-05,brooklyn prior
21.5,1.47668596556803e-05,brooklyn prior
21.6,1.48211859002569e-05,brooklyn prior
21.7,1.48754577079224e-05,brooklyn prior
21.8,1.49296753712233e-05,brooklyn prior
21.9,1.49838391797895e-05,brooklyn prior
22,1.50379494203767e-05,brooklyn prior
22.1,1.50920063769083e-05,brooklyn prior
22.2,1.51460103305154e-05,brooklyn prior
22.3,1.51999615595775e-05,brooklyn prior
22.4,1.52538603397614e-05,brooklyn prior
22.5,1.530770694406e-05,brooklyn prior
22.6,1.53615016428296e-05,brooklyn prior
22.7,1.54152447038275e-05,brooklyn prior
22.8,1.54689363922482e-05,brooklyn prior
22.9,1.55225769707589e-05,brooklyn prior
23,1.55761666995353e-05,brooklyn prior
23.1,1.56297058362951e-05,brooklyn prior
23.2,1.56831946363327e-05,brooklyn prior
23.3,1.57366333525518e-05,brooklyn prior
23.4,1.57900222354984e-05,brooklyn prior
23.5,1.58433615333926e-05,brooklyn prior
23.6,1.58966514921602e-05,brooklyn prior
