theta,p,model
557.2,0.000177805901556738,brooklyn prior
557.3,0.000177827053299742,brooklyn prior
557.4,0.000177848202448308,brooklyn prior
557.5,0.000177869349002532,brooklyn prior
557.6,0.000177890492962506,brooklyn prior
557.7,0.000177911634328326,brooklyn prior
557.8,0.000177932773100085,brooklyn prior
557.9,0.000177953909277877,brooklyn prior
558,0.000177975042861796,brooklyn prior
558.1,0.000177996173851937,brooklyn prior
558.2,0.000178017302248393,brooklyn prior
558.3,0.000178038428051257,brooklyn prior
558.4,0.000178059551260625,brooklyn prior
558.5,0.000178080671876589,brooklyn prior
558.6,0.000178101789899244,brooklyn prior
558.7,0.000178122905328683,brooklyn prior
558.8,0.000178144018165,brooklyn prior
558.9,0.000178165128408288,brooklyn prior
559,0.000178186236058642,brooklyn prior
559.1,0.000178207341116154,brooklyn prior
559.2,0.000178228443580919,brooklyn prior
559.3,0.00017824954345303,brooklyn prior
559.4,0.000178270640732581,brooklyn prior
559.5,0.000178291735419665,brooklyn prior
559.6,0.000178312827514375,brooklyn prior
559.7,0.000178333917016804,brooklyn prior
559.8,0.000178355003927047,brooklyn prior
559.9,0.000178376088245197,brooklyn prior
560,0.000178397169971347,brooklyn prior
560.1,0.000178418249105589,brooklyn prior
560.2,0.000178439325648018,brooklyn prior
560.3,0.000178460399598727,brooklyn prior
560.4,0.000178481470957808,brooklyn prior
560.5,0.000178502539725355,brooklyn prior
560.6,0.000178523605901462,brooklyn prior
560.7,0.00017854466948622,brooklyn prior
560.8,0.000178565730479723,brooklyn prior
560.9,0.000178586788882065,brooklyn prior
561,0.000178607844693338,brooklyn prior
561.1,0.000178628897913634,brooklyn prior
561.2,0.000178649948543048,brooklyn prior
561.3,0.000178670996581672,brooklyn prior
561.4,0.000178692042029598,brooklyn prior
561.5,0.000178713084886919,brooklyn prior
561.6,0.000178734125153729,brooklyn prior
561.7,0.00017875516283012,brooklyn prior
561.8,0.000178776197916185,brooklyn prior
561.9,0.000178797230412016,brooklyn prior
562,0.000178818260317706,brooklyn prior
562.1,0.000178839287633347,brooklyn prior
562.2,0.000178860312359033,brooklyn prior
562.3,0.000178881334494856,brooklyn prior
562.4,0.000178902354040907,brooklyn prior
562.5,0.000178923370997281,brooklyn prior
562.6,0.000178944385364069,brooklyn prior
562.7,0.000178965397141363,brooklyn prior
562.8,0.000178986406329257,brooklyn prior
562.9,0.000179007412927841,brooklyn prior
563,0.00017902841693721,brooklyn prior
563.1,0.000179049418357454,brooklyn prior
563.2,0.000179070417188666,brooklyn prior
563.3,0.000179091413430939,brooklyn prior
563.4,0.000179112407084365,brooklyn prior
563.5,0.000179133398149035,brooklyn prior
563.6,0.000179154386625043,brooklyn prior
563.7,0.000179175372512479,brooklyn prior
563.8,0.000179196355811436,brooklyn prior
563.9,0.000179217336522006,brooklyn prior
564,0.000179238314644282,brooklyn prior
564.1,0.000179259290178354,brooklyn prior
564.2,0.000179280263124316,brooklyn prior
564.3,0.000179301233482258,brooklyn prior
564.4,0.000179322201252273,brooklyn prior
564.5,0.000179343166434453,brooklyn prior
564.6,0.000179364129028889,brooklyn prior
564.7,0.000179385089035674,brooklyn prior
564.8,0.000179406046454898,brooklyn prior
564.9,0.000179427001286654,brooklyn prior
565,0.000179447953531033,brooklyn prior
565.1,0.000179468903188127,brooklyn prior
565.2,0.000179489850258028,brooklyn prior
565.3,0.000179510794740827,brooklyn prior
565.4,0.000179531736636616,brooklyn prior
565.5,0.000179552675945486,brooklyn prior
565.6,0.000179573612667529,brooklyn prior
565.7,0.000179594546802836,brooklyn prior
565.8,0.000179615478351499,brooklyn prior
565.9,0.000179636407313608,brooklyn prior
566,0.000179657333689257,brooklyn prior
566.1,0.000179678257478535,brooklyn prior
566.2,0.000179699178681534,brooklyn prior
566.3,0.000179720097298345,brooklyn prior
566.4,0.00017974101332906,brooklyn prior
566.5,0.00017976192677377,brooklyn prior
566.6,0.000179782837632566,brooklyn prior
566.7,0.00017980374590554,brooklyn prior
566.8,0.000179824651592781,brooklyn prior
566.9,0.000179845554694382,brooklyn prior
567,0.000179866455210434,brooklyn prior
567.1,0.000179887353141027,brooklyn prior
567.2,0.000179908248486252,brooklyn prior
567.3,0.000179929141246201,brooklyn prior
567.4,0.000179950031420965,brooklyn prior
567.5,0.000179970919010634,brooklyn prior
567.6,0.000179991804015299,brooklyn prior
567.7,0.000180012686435051,brooklyn prior
567.8,0.000180033566269981,brooklyn prior
567.9,0.00018005444352018,brooklyn prior
568,0.000180075318185738,brooklyn prior
568.1,0.000180096190266747,brooklyn prior
568.2,0.000180117059763296,brooklyn prior
568.3,0.000180137926675477,brooklyn prior
568.4,0.000180158791003381,brooklyn prior
568.5,0.000180179652747097,brooklyn prior
568.6,0.000180200511906717,brooklyn prior
568.7,0.000180221368482331,brooklyn prior
568.8,0.000180242222474029,brooklyn prior
568.9,0.000180263073881902,brooklyn prior
569,0.000180283922706041,brooklyn prior
569.1,0.000180304768946536,brooklyn prior
569.2,0.000180325612603477,brooklyn prior
569.3,0.000180346453676955,brooklyn prior
569.4,0.00018036729216706,brooklyn prior
569.5,0.000180388128073882,brooklyn prior
569.6,0.000180408961397512,brooklyn prior
569.7,0.00018042979213804,brooklyn prior
569.8,0.000180450620295557,brooklyn prior
569.9,0.000180471445870151,brooklyn prior
570,0.000180492268861914,brooklyn prior
570.1,0.000180513089270936,brooklyn prior
570.2,0.000180533907097307,brooklyn prior
570.3,0.000180554722341117,brooklyn prior
570.4,0.000180575535002456,brooklyn prior
570.5,0.000180596345081414,brooklyn prior
570.6,0.00018061715257808,brooklyn prior
570.7,0.000180637957492546,brooklyn prior
570.8,0.000180658759824901,brooklyn prior
570.9,0.000180679559575235,brooklyn prior
571,0.000180700356743637,brooklyn prior
571.1,0.000180721151330198,brooklyn prior
571.2,0.000180741943335008,brooklyn prior
571.3,0.000180762732758156,brooklyn prior
571.4,0.000180783519599732,brooklyn prior
571.5,0.000180804303859825,brooklyn prior
571.6,0.000180825085538526,brooklyn prior
571.7,0.000180845864635925,brooklyn prior
571.8,0.00018086664115211,brooklyn prior
571.9,0.000180887415087172,brooklyn prior
572,0.000180908186441199,brooklyn prior
572.1,0.000180928955214283,brooklyn prior
572.2,0.000180949721406512,brooklyn prior
572.3,0.000180970485017975,brooklyn prior
572.4,0.000180991246048763,brooklyn prior
572.5,0.000181012004498964,brooklyn prior
572.6,0.000181032760368669,brooklyn prior
572.7,0.000181053513657966,brooklyn prior
572.8,0.000181074264366945,brooklyn prior
572.9,0.000181095012495695,brooklyn prior
573,0.000181115758044306,brooklyn prior
573.1,0.000181136501012867,brooklyn prior
573.2,0.000181157241401467,brooklyn prior
573.3,0.000181177979210195,brooklyn prior
573.4,0.000181198714439141,brooklyn prior
573.5,0.000181219447088394,brooklyn prior
573.6,0.000181240177158043,brooklyn prior
573.7,0.000181260904648177,brooklyn prior
573.8,0.000181281629558885,brooklyn prior
573.9,0.000181302351890257,brooklyn prior
574,0.000181323071642381,brooklyn prior
574.1,0.000181343788815347,brooklyn prior
574.2,0.000181364503409242,brooklyn prior
574.3,0.000181385215424158,brooklyn prior
574.4,0.000181405924860181,brooklyn prior
574.5,0.000181426631717402,brooklyn prior
574.6,0.000181447335995909,brooklyn prior
574.7,0.000181468037695791,brooklyn prior
574.8,0.000181488736817136,brooklyn prior
574.9,0.000181509433360035,brooklyn prior
575,0.000181530127324574,brooklyn prior
575.1,0.000181550818710844,brooklyn prior
575.2,0.000181571507518933,brooklyn prior
575.3,0.00018159219374893,brooklyn prior
575.4,0.000181612877400922,brooklyn prior
575.5,0.000181633558475,brooklyn prior
575.6,0.000181654236971251,brooklyn prior
575.7,0.000181674912889764,brooklyn prior
575.8,0.000181695586230628,brooklyn prior
575.9,0.000181716256993932,brooklyn prior
576,0.000181736925179763,brooklyn prior
576.1,0.00018175759078821,brooklyn prior
576.2,0.000181778253819363,brooklyn prior
576.3,0.000181798914273308,brooklyn prior
576.4,0.000181819572150135,brooklyn prior
576.5,0.000181840227449932,brooklyn prior
576.6,0.000181860880172787,brooklyn prior
576.7,0.000181881530318789,brooklyn prior
576.8,0.000181902177888026,brooklyn prior
576.9,0.000181922822880586,brooklyn prior
577,0.000181943465296558,brooklyn prior
577.1,0.000181964105136029,brooklyn prior
577.2,0.000181984742399088,brooklyn prior
577.3,0.000182005377085824,brooklyn prior
577.4,0.000182026009196324,brooklyn prior
577.5,0.000182046638730676,brooklyn prior
577.6,0.000182067265688969,brooklyn prior
577.7,0.00018208789007129,brooklyn prior
577.8,0.000182108511877728,brooklyn prior
577.9,0.00018212913110837,brooklyn prior
578,0.000182149747763306,brooklyn prior
578.1,0.000182170361842622,brooklyn prior
578.2,0.000182190973346406,brooklyn prior
578.3,0.000182211582274747,brooklyn prior
578.4,0.000182232188627732,brooklyn prior
578.5,0.00018225279240545,brooklyn prior
578.6,0.000182273393607988,brooklyn prior
578.7,0.000182293992235434,brooklyn prior
578.8,0.000182314588287875,brooklyn prior
578.9,0.0001823351817654,brooklyn prior
579,0.000182355772668096,brooklyn prior
579.1,0.000182376360996052,brooklyn prior
579.2,0.000182396946749354,brooklyn prior
579.3,0.00018241752992809,brooklyn prior
579.4,0.000182438110532348,brooklyn prior
579.5,0.000182458688562216,brooklyn prior
579.6,0.000182479264017781,brooklyn prior
579.7,0.000182499836899131,brooklyn prior
579.8,0.000182520407206353,brooklyn prior
579.9,0.000182540974939535,brooklyn prior
580,0.000182561540098765,brooklyn prior
580.1,0.000182582102684129,brooklyn prior
580.2,0.000182602662695715,brooklyn prior
580.3,0.000182623220133612,brooklyn prior
580.4,0.000182643774997905,brooklyn prior
580.5,0.000182664327288683,brooklyn prior
580.6,0.000182684877006032,brooklyn prior
580.7,0.000182705424150041,brooklyn prior
580.8,0.000182725968720796,brooklyn prior
580.9,0.000182746510718385,brooklyn prior
581,0.000182767050142895,brooklyn prior
581.1,0.000182787586994413,brooklyn prior
581.2,0.000182808121273027,brooklyn prior
581.3,0.000182828652978823,brooklyn prior
581.4,0.000182849182111888,brooklyn prior
581.5,0.000182869708672311,brooklyn prior
581.6,0.000182890232660178,brooklyn prior
581.7,0.000182910754075576,brooklyn prior
581.8,0.000182931272918592,brooklyn prior
581.9,0.000182951789189313,brooklyn prior
582,0.000182972302887826,brooklyn prior
582.1,0.000182992814014218,brooklyn prior
582.2,0.000183013322568577,brooklyn prior
582.3,0.000183033828550988,brooklyn prior
582.4,0.00018305433196154,brooklyn prior
582.5,0.000183074832800319,brooklyn prior
582.6,0.000183095331067411,brooklyn prior
582.7,0.000183115826762904,brooklyn prior
582.8,0.000183136319886884,brooklyn prior
582.9,0.000183156810439439,brooklyn prior
583,0.000183177298420654,brooklyn prior
583.1,0.000183197783830617,brooklyn prior
583.2,0.000183218266669415,brooklyn prior
583.3,0.000183238746937134,brooklyn prior
583.4,0.000183259224633861,brooklyn prior
583.5,0.000183279699759682,brooklyn prior
583.6,0.000183300172314685,brooklyn prior
583.7,0.000183320642298955,brooklyn prior
583.8,0.00018334110971258,brooklyn prior
583.9,0.000183361574555645,brooklyn prior
584,0.000183382036828239,brooklyn prior
584.1,0.000183402496530446,brooklyn prior
584.2,0.000183422953662353,brooklyn prior
584.3,0.000183443408224048,brooklyn prior
584.4,0.000183463860215616,brooklyn prior
584.5,0.000183484309637144,brooklyn prior
584.6,0.000183504756488718,brooklyn prior
584.7,0.000183525200770425,brooklyn prior
584.8,0.00018354564248235,brooklyn prior
584.9,0.000183566081624581,brooklyn prior
585,0.000183586518197204,brooklyn prior
585.1,0.000183606952200305,brooklyn prior
585.2,0.00018362738363397,brooklyn prior
585.3,0.000183647812498285,brooklyn prior
585.4,0.000183668238793337,brooklyn prior
585.5,0.000183688662519212,brooklyn prior
585.6,0.000183709083675996,brooklyn prior
585.7,0.000183729502263776,brooklyn prior
585.8,0.000183749918282636,brooklyn prior
585.9,0.000183770331732664,brooklyn prior
586,0.000183790742613946,brooklyn prior
586.1,0.000183811150926568,brooklyn prior
586.2,0.000183831556670615,brooklyn prior
586.3,0.000183851959846173,brooklyn prior
586.4,0.00018387236045333,brooklyn prior
586.5,0.00018389275849217,brooklyn prior
586.6,0.00018391315396278,brooklyn prior
586.7,0.000183933546865245,brooklyn prior
586.8,0.000183953937199652,brooklyn prior
586.9,0.000183974324966086,brooklyn prior
587,0.000183994710164634,brooklyn prior
587.1,0.000184015092795381,brooklyn prior
587.2,0.000184035472858412,brooklyn prior
587.3,0.000184055850353815,brooklyn prior
587.4,0.000184076225281673,brooklyn prior
587.5,0.000184096597642075,brooklyn prior
587.6,0.000184116967435104,brooklyn prior
587.7,0.000184137334660847,brooklyn prior
587.8,0.000184157699319389,brooklyn prior
587.9,0.000184178061410817,brooklyn prior
588,0.000184198420935215,brooklyn prior
588.1,0.000184218777892669,brooklyn prior
588.2,0.000184239132283266,brooklyn prior
588.3,0.00018425948410709,brooklyn prior
588.4,0.000184279833364228,brooklyn prior
588.5,0.000184300180054764,brooklyn prior
588.6,0.000184320524178784,brooklyn prior
588.7,0.000184340865736374,brooklyn prior
588.8,0.00018436120472762,brooklyn prior
588.9,0.000184381541152606,brooklyn prior
589,0.000184401875011418,brooklyn prior
589.1,0.000184422206304142,brooklyn prior
589.2,0.000184442535030862,brooklyn prior
589.3,0.000184462861191665,brooklyn prior
589.4,0.000184483184786636,brooklyn prior
589.5,0.00018450350581586,brooklyn prior
589.6,0.000184523824279422,brooklyn prior
589.7,0.000184544140177407,brooklyn prior
589.8,0.000184564453509902,brooklyn prior
589.9,0.00018458476427699,brooklyn prior
590,0.000184605072478758,brooklyn prior
590.1,0.000184625378115291,brooklyn prior
590.2,0.000184645681186674,brooklyn prior
590.3,0.000184665981692991,brooklyn prior
590.4,0.000184686279634328,brooklyn prior
590.5,0.000184706575010771,brooklyn prior
590.6,0.000184726867822404,brooklyn prior
590.7,0.000184747158069313,brooklyn prior
590.8,0.000184767445751582,brooklyn prior
590.9,0.000184787730869296,brooklyn prior
591,0.000184808013422541,brooklyn prior
591.1,0.000184828293411402,brooklyn prior
591.2,0.000184848570835963,brooklyn prior
591.3,0.00018486884569631,brooklyn prior
591.4,0.000184889117992527,brooklyn prior
591.5,0.000184909387724699,brooklyn prior
591.6,0.000184929654892912,brooklyn prior
591.7,0.00018494991949725,brooklyn prior
591.8,0.000184970181537798,brooklyn prior
591.9,0.000184990441014641,brooklyn prior
592,0.000185010697927864,brooklyn prior
592.1,0.000185030952277551,brooklyn prior
592.2,0.000185051204063787,brooklyn prior
592.3,0.000185071453286658,brooklyn prior
592.4,0.000185091699946247,brooklyn prior
592.5,0.00018511194404264,brooklyn prior
592.6,0.000185132185575921,brooklyn prior
592.7,0.000185152424546175,brooklyn prior
592.8,0.000185172660953487,brooklyn prior
592.9,0.000185192894797941,brooklyn prior
593,0.000185213126079622,brooklyn prior
593.1,0.000185233354798614,brooklyn prior
593.2,0.000185253580955002,brooklyn prior
593.3,0.000185273804548871,brooklyn prior
593.4,0.000185294025580305,brooklyn prior
593.5,0.000185314244049389,brooklyn prior
593.6,0.000185334459956207,brooklyn prior
593.7,0.000185354673300844,brooklyn prior
593.8,0.000185374884083384,brooklyn prior
593.9,0.000185395092303911,brooklyn prior
594,0.000185415297962511,brooklyn prior
594.1,0.000185435501059267,brooklyn prior
594.2,0.000185455701594264,brooklyn prior
594.3,0.000185475899567586,brooklyn prior
594.4,0.000185496094979318,brooklyn prior
594.5,0.000185516287829543,brooklyn prior
594.6,0.000185536478118347,brooklyn prior
594.7,0.000185556665845814,brooklyn prior
594.8,0.000185576851012027,brooklyn prior
594.9,0.000185597033617071,brooklyn prior
595,0.000185617213661031,brooklyn prior
595.1,0.000185637391143991,brooklyn prior
595.2,0.000185657566066034,brooklyn prior
595.3,0.000185677738427245,brooklyn prior
595.4,0.000185697908227708,brooklyn prior
595.5,0.000185718075467507,brooklyn prior
595.6,0.000185738240146727,brooklyn prior
595.7,0.000185758402265451,brooklyn prior
595.8,0.000185778561823764,brooklyn prior
595.9,0.00018579871882175,brooklyn prior
596,0.000185818873259492,brooklyn prior
596.1,0.000185839025137075,brooklyn prior
596.2,0.000185859174454583,brooklyn prior
596.3,0.000185879321212099,brooklyn prior
596.4,0.000185899465409708,brooklyn prior
596.5,0.000185919607047494,brooklyn prior
596.6,0.000185939746125541,brooklyn prior
596.7,0.000185959882643932,brooklyn prior
596.8,0.000185980016602752,brooklyn prior
596.9,0.000186000148002084,brooklyn prior
597,0.000186020276842013,brooklyn prior
597.1,0.000186040403122621,brooklyn prior
597.2,0.000186060526843994,brooklyn prior
597.3,0.000186080648006214,brooklyn prior
597.4,0.000186100766609366,brooklyn prior
597.5,0.000186120882653533,brooklyn prior
597.6,0.000186140996138799,brooklyn prior
597.7,0.000186161107065248,brooklyn prior
597.8,0.000186181215432964,brooklyn prior
597.9,0.00018620132124203,brooklyn prior
598,0.00018622142449253,brooklyn prior
598.1,0.000186241525184547,brooklyn prior
598.2,0.000186261623318166,brooklyn prior
598.3,0.00018628171889347,brooklyn prior
598.4,0.000186301811910542,brooklyn prior
598.5,0.000186321902369467,brooklyn prior
598.6,0.000186341990270327,brooklyn prior
598.7,0.000186362075613207,brooklyn prior
598.8,0.000186382158398189,brooklyn prior
598.9,0.000186402238625358,brooklyn prior
599,0.000186422316294797,brooklyn prior
599.1,0.000186442391406589,brooklyn prior
599.2,0.000186462463960818,brooklyn prior
599.3,0.000186482533957568,brooklyn prior
599.4,0.000186502601396921,brooklyn prior
599.5,0.000186522666278961,brooklyn prior
599.6,0.000186542728603772,brooklyn prior
599.7,0.000186562788371438,brooklyn prior
599.8,0.00018658284558204,brooklyn prior
599.9,0.000186602900235664,brooklyn prior
600,0.000186622952332391,brooklyn prior
600.1,0.000186643001872306,brooklyn prior
600.2,0.000186663048855492,brooklyn prior
600.3,0.000186683093282031,brooklyn prior
600.4,0.000186703135152008,brooklyn prior
600.5,0.000186723174465506,brooklyn prior
600.6,0.000186743211222607,brooklyn prior
600.7,0.000186763245423396,brooklyn prior
600.8,0.000186783277067954,brooklyn prior
600.9,0.000186803306156367,brooklyn prior
601,0.000186823332688715,brooklyn prior
601.1,0.000186843356665084,brooklyn prior
601.2,0.000186863378085555,brooklyn prior
601.3,0.000186883396950212,brooklyn prior
601.4,0.000186903413259139,brooklyn prior
601.5,0.000186923427012418,brooklyn prior
601.6,0.000186943438210132,brooklyn prior
601.7,0.000186963446852364,brooklyn prior
601.8,0.000186983452939198,brooklyn prior
601.9,0.000187003456470716,brooklyn prior
602,0.000187023457447001,brooklyn prior
602.1,0.000187043455868137,brooklyn prior
602.2,0.000187063451734206,brooklyn prior
602.3,0.000187083445045292,brooklyn prior
602.4,0.000187103435801477,brooklyn prior
602.5,0.000187123424002844,brooklyn prior
602.6,0.000187143409649476,brooklyn prior
602.7,0.000187163392741456,brooklyn prior
602.8,0.000187183373278867,brooklyn prior
602.9,0.000187203351261792,brooklyn prior
603,0.000187223326690313,brooklyn prior
603.1,0.000187243299564514,brooklyn prior
603.2,0.000187263269884477,brooklyn prior
603.3,0.000187283237650285,brooklyn prior
603.4,0.000187303202862021,brooklyn prior
603.5,0.000187323165519767,brooklyn prior
603.6,0.000187343125623607,brooklyn prior
603.7,0.000187363083173623,brooklyn prior
603.8,0.000187383038169897,brooklyn prior
603.9,0.000187402990612513,brooklyn prior
604,0.000187422940501553,brooklyn prior
604.1,0.0001874428878371,brooklyn prior
604.2,0.000187462832619236,brooklyn prior
604.3,0.000187482774848044,brooklyn prior
604.4,0.000187502714523607,brooklyn prior
604.5,0.000187522651646008,brooklyn prior
604.6,0.000187542586215328,brooklyn prior
604.7,0.000187562518231651,brooklyn prior
604.8,0.000187582447695059,brooklyn prior
604.9,0.000187602374605634,brooklyn prior
605,0.000187622298963459,brooklyn prior
605.1,0.000187642220768618,brooklyn prior
605.2,0.000187662140021191,brooklyn prior
605.3,0.000187682056721262,brooklyn prior
605.4,0.000187701970868913,brooklyn prior
605.5,0.000187721882464226,brooklyn prior
605.6,0.000187741791507285,brooklyn prior
605.7,0.00018776169799817,brooklyn prior
605.8,0.000187781601936966,brooklyn prior
605.9,0.000187801503323754,brooklyn prior
606,0.000187821402158616,brooklyn prior
606.1,0.000187841298441636,brooklyn prior
606.2,0.000187861192172894,brooklyn prior
606.3,0.000187881083352474,brooklyn prior
606.4,0.000187900971980458,brooklyn prior
606.5,0.000187920858056928,brooklyn prior
606.6,0.000187940741581967,brooklyn prior
606.7,0.000187960622555657,brooklyn prior
606.8,0.000187980500978079,brooklyn prior
606.9,0.000188000376849317,brooklyn prior
607,0.000188020250169452,brooklyn prior
607.1,0.000188040120938567,brooklyn prior
607.2,0.000188059989156744,brooklyn prior
607.3,0.000188079854824065,brooklyn prior
607.4,0.000188099717940612,brooklyn prior
607.5,0.000188119578506468,brooklyn prior
607.6,0.000188139436521714,brooklyn prior
607.7,0.000188159291986432,brooklyn prior
607.8,0.000188179144900706,brooklyn prior
607.9,0.000188198995264616,brooklyn prior
608,0.000188218843078245,brooklyn prior
608.1,0.000188238688341676,brooklyn prior
608.2,0.000188258531054989,brooklyn prior
608.3,0.000188278371218268,brooklyn prior
608.4,0.000188298208831593,brooklyn prior
608.5,0.000188318043895048,brooklyn prior
608.6,0.000188337876408714,brooklyn prior
608.7,0.000188357706372672,brooklyn prior
608.8,0.000188377533787006,brooklyn prior
608.9,0.000188397358651797,brooklyn prior
609,0.000188417180967127,brooklyn prior
609.1,0.000188437000733078,brooklyn prior
609.2,0.000188456817949731,brooklyn prior
609.3,0.000188476632617169,brooklyn prior
609.4,0.000188496444735474,brooklyn prior
609.5,0.000188516254304727,brooklyn prior
609.6,0.000188536061325011,brooklyn prior
609.7,0.000188555865796406,brooklyn prior
609.8,0.000188575667718996,brooklyn prior
609.9,0.000188595467092861,brooklyn prior
610,0.000188615263918083,brooklyn prior
610.1,0.000188635058194745,brooklyn prior
610.2,0.000188654849922928,brooklyn prior
610.3,0.000188674639102714,brooklyn prior
610.4,0.000188694425734185,brooklyn prior
610.5,0.000188714209817422,brooklyn prior
610.6,0.000188733991352507,brooklyn prior
610.7,0.000188753770339521,brooklyn prior
610.8,0.000188773546778547,brooklyn prior
610.9,0.000188793320669666,brooklyn prior
611,0.00018881309201296,brooklyn prior
611.1,0.00018883286080851,brooklyn prior
611.2,0.000188852627056398,brooklyn prior
611.3,0.000188872390756706,brooklyn prior
611.4,0.000188892151909515,brooklyn prior
611.5,0.000188911910514907,brooklyn prior
611.6,0.000188931666572963,brooklyn prior
611.7,0.000188951420083766,brooklyn prior
611.8,0.000188971171047396,brooklyn prior
611.9,0.000188990919463935,brooklyn prior
612,0.000189010665333464,brooklyn prior
612.1,0.000189030408656066,brooklyn prior
612.2,0.000189050149431821,brooklyn prior
612.3,0.000189069887660812,brooklyn prior
612.4,0.000189089623343118,brooklyn prior
612.5,0.000189109356478823,brooklyn prior
612.6,0.000189129087068008,brooklyn prior
612.7,0.000189148815110753,brooklyn prior
612.8,0.000189168540607141,brooklyn prior
612.9,0.000189188263557252,brooklyn prior
613,0.000189207983961169,brooklyn prior
613.1,0.000189227701818972,brooklyn prior
613.2,0.000189247417130743,brooklyn prior
613.3,0.000189267129896563,brooklyn prior
613.4,0.000189286840116514,brooklyn prior
613.5,0.000189306547790677,brooklyn prior
613.6,0.000189326252919133,brooklyn prior
613.7,0.000189345955501963,brooklyn prior
613.8,0.00018936565553925,brooklyn prior
613.9,0.000189385353031073,brooklyn prior
614,0.000189405047977515,brooklyn prior
614.1,0.000189424740378657,brooklyn prior
614.2,0.000189444430234579,brooklyn prior
614.3,0.000189464117545363,brooklyn prior
614.4,0.000189483802311091,brooklyn prior
614.5,0.000189503484531844,brooklyn prior
614.6,0.000189523164207702,brooklyn prior
614.7,0.000189542841338747,brooklyn prior
614.8,0.00018956251592506,brooklyn prior
614.9,0.000189582187966722,brooklyn prior
615,0.000189601857463815,brooklyn prior
615.1,0.000189621524416419,brooklyn prior
615.2,0.000189641188824616,brooklyn prior
615.3,0.000189660850688486,brooklyn prior
615.4,0.000189680510008112,brooklyn prior
615.5,0.000189700166783573,brooklyn prior
615.6,0.000189719821014951,brooklyn prior
615.7,0.000189739472702328,brooklyn prior
615.8,0.000189759121845783,brooklyn prior
615.9,0.000189778768445398,brooklyn prior
616,0.000189798412501255,brooklyn prior
616.1,0.000189818054013434,brooklyn prior
616.2,0.000189837692982015,brooklyn prior
616.3,0.000189857329407082,brooklyn prior
616.4,0.000189876963288713,brooklyn prior
616.5,0.00018989659462699,brooklyn prior
616.6,0.000189916223421994,brooklyn prior
616.7,0.000189935849673806,brooklyn prior
616.8,0.000189955473382507,brooklyn prior
616.9,0.000189975094548178,brooklyn prior
617,0.000189994713170899,brooklyn prior
617.1,0.000190014329250752,brooklyn prior
617.2,0.000190033942787818,brooklyn prior
617.3,0.000190053553782177,brooklyn prior
617.4,0.000190073162233909,brooklyn prior
617.5,0.000190092768143098,brooklyn prior
617.6,0.000190112371509821,brooklyn prior
617.7,0.000190131972334162,brooklyn prior
617.8,0.0001901515706162,brooklyn prior
617.9,0.000190171166356016,brooklyn prior
618,0.000190190759553692,brooklyn prior
618.1,0.000190210350209307,brooklyn prior
618.2,0.000190229938322943,brooklyn prior
618.3,0.00019024952389468,brooklyn prior
618.4,0.0001902691069246,brooklyn prior
618.5,0.000190288687412782,brooklyn prior
618.6,0.000190308265359308,brooklyn prior
618.7,0.000190327840764258,brooklyn prior
618.8,0.000190347413627713,brooklyn prior
618.9,0.000190366983949754,brooklyn prior
619,0.000190386551730461,brooklyn prior
619.1,0.000190406116969915,brooklyn prior
619.2,0.000190425679668196,brooklyn prior
619.3,0.000190445239825386,brooklyn prior
619.4,0.000190464797441565,brooklyn prior
619.5,0.000190484352516813,brooklyn prior
619.6,0.000190503905051212,brooklyn prior
619.7,0.000190523455044841,brooklyn prior
619.8,0.000190543002497782,brooklyn prior
619.9,0.000190562547410114,brooklyn prior
620,0.000190582089781919,brooklyn prior
620.1,0.000190601629613277,brooklyn prior
620.2,0.000190621166904268,brooklyn prior
620.3,0.000190640701654974,brooklyn prior
620.4,0.000190660233865474,brooklyn prior
620.5,0.000190679763535849,brooklyn prior
620.6,0.00019069929066618,brooklyn prior
620.7,0.000190718815256547,brooklyn prior
620.8,0.000190738337307031,brooklyn prior
620.9,0.000190757856817712,brooklyn prior
621,0.00019077737378867,brooklyn prior
621.1,0.000190796888219986,brooklyn prior
621.2,0.00019081640011174,brooklyn prior
621.3,0.000190835909464014,brooklyn prior
621.4,0.000190855416276886,brooklyn prior
621.5,0.000190874920550439,brooklyn prior
621.6,0.000190894422284751,brooklyn prior
621.7,0.000190913921479903,brooklyn prior
621.8,0.000190933418135977,brooklyn prior
621.9,0.000190952912253052,brooklyn prior
622,0.000190972403831208,brooklyn prior
622.1,0.000190991892870526,brooklyn prior
622.2,0.000191011379371086,brooklyn prior
622.3,0.000191030863332968,brooklyn prior
622.4,0.000191050344756254,brooklyn prior
622.5,0.000191069823641023,brooklyn prior
622.6,0.000191089299987355,brooklyn prior
622.7,0.00019110877379533,brooklyn prior
622.8,0.00019112824506503,brooklyn prior
622.9,0.000191147713796534,brooklyn prior
623,0.000191167179989922,brooklyn prior
623.1,0.000191186643645275,brooklyn prior
623.2,0.000191206104762673,brooklyn prior
623.3,0.000191225563342197,brooklyn prior
623.4,0.000191245019383925,brooklyn prior
623.5,0.000191264472887939,brooklyn prior
623.6,0.000191283923854319,brooklyn prior
623.7,0.000191303372283145,brooklyn prior
623.8,0.000191322818174497,brooklyn prior
623.9,0.000191342261528456,brooklyn prior
624,0.000191361702345101,brooklyn prior
624.1,0.000191381140624512,brooklyn prior
624.2,0.00019140057636677,brooklyn prior
624.3,0.000191420009571955,brooklyn prior
